X Y TOL_COUNTS TOL_BG APER_RAD TOL_COUNTS_ERR MAG MAG_ERR
1561 1932 680071.7578125 1520333.2421875 12 824.6646335405078 10.718613150668942 -0.0013156863479664481
288 1798 830857.95703125 1525456.04296875 12 911.5141013891392 10.501183041473336 -0.0011903271692083202
1091 2385 668459.1640625 1523487.8359375 12 817.5935200712515 10.737312796225694 -0.0013270653122415214
2431 360 753702.31640625 1545810.68359375 12 868.1603057075635 10.607000374946086 -0.0012497691876337388
3297 2260 1090913.9296875 1750639.0703125 12 1044.468252120427 10.205523781953353 -0.0010388061080815881
3597 365 445207.57421875 1581436.42578125 12 667.2387685219962 11.178593639294434 -0.0016261045538516726
4222 583 477888.796875 1515031.203125 12 691.2950143571122 11.101682876263393 -0.0015695180457926837
3206 855 521985.14453125 1520457.85546875 12 722.4853939916363 11.00585464163184 -0.0015017604632884248
4498 1677 408185.0625 1512538.9375 12 638.8936237747251 11.27285723075322 -0.001698248283633791
1741 684 522910.921875 1516943.078125 12 723.1257994809755 11.0039307177604 -0.0015004304932540924
500 1011 545406.375 1524310.625 12 738.5163336040713 10.958199475249167 -0.001469161818947234
3215 2459 337464.3364485982 1506322.6635514018 12 580.9168068222834 11.47943029265253 -0.0018677373201425168
2356 668 387528.2265625 1512207.7734375 12 622.5176516071652 11.32924164777236 -0.0017429224652487129
1781 1414 731356.5049504952 1695352.4950495048 12 855.1938405709521 10.639677178704533 -0.0012687182116227853
1688 1001 379486.47265625 1509307.52734375 12 616.0247338023449 11.352009251367583 -0.0017612929164433975
1653 1931 361332.71484375 1505801.28515625 12 601.1095697489352 11.405231789735415 -0.001804995386204167
2334 1284 336545.51953125 1507402.48046875 12 580.1254343081762 11.48239046720136 -0.001870285175987686
3582 374 316520.14285714296 1284386.857142857 12 562.6012289865203 11.548996617328662 -0.0019285418234057865
4511 2091 223997.32394366188 947208.6760563381 12 473.28355553902554 11.924392925185163 -0.002292494609841846
1638 234 378993.9140625 1511361.0859375 12 615.6248159898203 11.3534194098443 -0.0017624370750154122
467 1598 195034.84615384613 799011.1538461539 12 441.62749705362114 12.07471946979463 -0.0024568216590649984
