X Y TOL_COUNTS TOL_BG APER_RAD MAG TOL_COUNTS_ERR MAG_ERR
1561 1932 713732.125 3452551.875 18 10.666161888147457 844.8266834090883 -0.0012842870866977732
288 1798 890979.6198979588 4257293.380102041 20 10.425330574551708 943.9171679220369 -0.0011494652675812077
1091 2385 701671.6554878051 2728541.344512195 16 10.684665166857625 837.6584360512375 -0.0012952773508910656
2431 360 916593.4723684192 17143912.52763158 40 10.39455809990261 957.3888825176629 -0.0011332907868605658
3297 2260 1939309.0760869607 51742165.92391304 69 9.58088242503135 1392.5907784008052 -0.0007791233554238883
3597 365 790576.9693396222 5247216.030660378 22 10.5551396036014 889.1439531029957 -0.0012202748454999805
4222 583 511451.4923469387 4265938.507653061 20 11.02798887460113 715.1583687176839 -0.00151714647756337
3206 855 514687.9420529753 69899370.05794702 83 11.02114001536252 717.41755070041 -0.0015123689111602046
4498 1677 427623.04676258983 2723278.95323741 16 11.22234724128155 653.9289309723113 -0.0016592017092541531
1741 684 638883.9941037744 21706939.005896226 45 10.786444980168488 799.3021919798384 -0.0013574340354459682
500 1011 599885.7684426233 6657236.231557377 25 10.854828602616571 774.5229295783458 -0.0014008623354645929
3215 2459 353585.39024390234 2732160.6097560977 17 11.428764219636214 594.6304652840303 -0.0018246626490651474
2356 668 424109.10450819694 6653942.895491803 25 11.23130601069682 651.236596413467 -0.001666061161143866
1781 1414 1273861.8236994222 15678029.176300578 45 10.037194193854427 1128.654873599287 -0.0009613213262792451
1688 1001 402939.0078125 3852916.9921875 19 11.286901718239871 634.7747693572106 -0.00170926768418773
1653 1931 382359.9583333335 3436416.0416666665 18 11.343818985978094 618.352616500758 -0.0017546622607339934
2334 1284 365339.942307692 7813742.057692308 27 11.393257110357567 604.4335714598354 -0.0017950690551146828
1638 234 399136.9359756098 2720737.06402439 16 11.297195202287938 631.7728515658217 -0.0017173894023949816
467 1598 218045.8548387098 3149532.14516129 24 11.953630412671142 466.9538037522661 -0.0023235703216920945
2513 391 288813.2474489799 4260475.75255102 20 11.648457225453006 537.4134790354442 -0.002018929636724724
3540 518 282893.625 7818984.375 27 11.670942098117132 531.8774529908181 -0.0020399435883188873
3716 405 357992.4166666665 3475965.5833333335 18 11.415315432236005 598.3246749605656 -0.00181339671487142
829 1868 636460.014423077 4685803.985576923 21 10.790572189220223 797.7844410760823 -0.001360016495855084
2591 1029 275563.4296875 3854809.5703125 19 11.69944604654411 524.9413583320521 -0.0020668975358456745
3333 555 246152.8421052629 5649821.157894737 23 11.821987863637196 496.13792649349324 -0.0021868918743389587
1175 574 647075.308423914 15441370.691576086 38 10.77261292997561 804.4099131810311 -0.0013488148047671096
4211 348 194291.5859375 3848399.4140625 19 12.078865016771744 440.7851925116133 -0.002461516444818898
1555 2055 198940.7164634145 2715708.2835365855 16 12.0531908058175 446.0277081790037 -0.0024325842993694873
2322 1005 212884.5076530613 4261066.492346939 20 11.97963985633374 461.3940914804407 -0.0023515689083027516
2862 2078 194284.86764705926 10248021.13235294 31 12.078902560431937 440.7775716243503 -0.002461559003561742
2277 2298 554494.8928571418 17947669.10714286 41 10.940256123850967 744.6441384024598 -0.0014570718334367483
3620 2154 160253.43478260888 2085339.5652173911 14 12.287981633210112 400.3166681298805 -0.002710354292936855
940 208 244063.625 3445349.375 18 11.831242356444124 494.0279597350741 -0.0021962319715301917
4419 600 162967.83108108118 2384969.168918919 15 12.26974528596497 403.6927434089956 -0.002687687647882111
3660 2321 154724.3175675678 2381540.682432432 15 12.326103560363007 393.3501208434641 -0.0027583568492960545
1422 909 172053.3359375 3850180.6640625 19 12.21084225609349 414.7931242649762 -0.0026157617774466417
3850 603 147420.37209302327 3044721.6279069767 17 12.37860624240956 383.95360669359945 -0.0028258622424293194
3936 501 136592.56707317056 2718244.4329268294 16 12.461432332290237 369.58431659523995 -0.00293573063379815
3976 2280 118633.57621951215 2707715.423780488 16 12.614480943889447 344.4322520024978 -0.0031501115057951416
1296 520 141626.76013513515 2387618.239864865 15 12.422136699225135 376.333309893152 -0.0028830825533568945
610 1312 151995.8515625 3860452.1484375 19 12.345420662837094 389.86645349722 -0.002783004257655979
1803 1106 127494.91554054059 2386794.0844594594 15 12.536267836049895 357.0643016888423 -0.0030386683711257838
4406 1855 114275.3175675678 2382237.682432432 15 12.655118907865104 338.04632458816616 -0.003209619277245004
1466 128 131471.484375 1501948.515625 12 12.502921084124289 362.5899672839832 -0.0029923607873855477
3295 1913 108689.828125 3859576.171875 19 12.709527745025513 329.68140397207725 -0.0032910561133496483
3170 232 112905.5639534886 3041987.4360465114 17 12.6682116391035 336.01423177223995 -0.003229029896374877
2567 1448 57133.582677165046 7508441.417322835 34 13.407771354423366 239.02632214290762 -0.004539249026102266
2408 1919 96852.79452054761 9634485.205479452 30 12.83471960986232 311.21181616472666 -0.003486371479628208
2376 794 208695.45036764722 8380599.549632353 28 12.001217546499792 456.83197170036954 -0.0023750526828530253
2660 1344 133978.548076923 7836139.451923077 27 12.482411832401953 366.0308020876426 -0.0029642314084272255
3423 844 218650.91445428133 35562485.08554572 69 11.950621754960654 467.60123444477915 -0.002320353155800173
1706 1998 81549.15086206887 1277037.8491379311 11 13.021451391827132 285.56811947776816 -0.0037994437263662016
2697 1132 253805.64381720498 16331275.356182795 39 11.788746812070812 503.7912700883224 -0.002153669712874903
3096 896 87054.875 1502679.125 12 12.950517259347158 295.0506312482656 -0.0036773349557318665
467 1448 11773.46666666666 75238.53333333334 5 15.122739103611696 108.50560661397483 -0.009999483288085307
3353 640 528753.1507352944 8424190.849264706 28 10.991867579335986 727.154145099438 -0.0014921182906158458
839 258 167137.96951219486 2731561.030487805 16 12.242312195487415 408.82510871055223 -0.0026539465822491316
422 2340 285558.4476744188 3037852.552325581 17 11.660762468943107 534.3766908037989 -0.0020304029323733497
4160 2304 67255.77717391297 852523.222826087 9 13.230676011139582 259.3371881815506 -0.0041837424382053495
500 1292 542472.1045081969 6700526.895491803 25 10.964056473973445 736.5270561956274 -0.001473129861113772
1764 1880 77438.87890625 1494545.12109375 12 13.077602357494046 278.27841976382217 -0.0038989728377818557
1667 2077 77393.8671875 1496660.1328125 12 13.078233630339033 278.1975326768733 -0.003900106480312421
2696 1310 83832.78828828782 7603069.211711712 27 12.99146522229022 289.53892361526766 -0.0037473372714534286
3070 2338 129294.0 3440048.0 18 12.521054071158488 359.574748835343 -0.0030174532653204876
2587 2009 66566.16810344835 1277365.8318965517 11 13.241866106472628 258.0042017166549 -0.004205357869293802
748 2099 171742.71739130444 2090657.2826086956 14 12.21280417444581 414.41852925672185 -0.0026181261777700818
956 2139 67711.9147727273 663024.0852272727 8 13.223337262380175 260.2151317136021 -0.004169626850117895
2557 2114 75016.90517241368 1278705.0948275863 11 13.112102141661174 273.8921414944461 -0.003961413401932166
4363 2106 116558.61890243879 2715147.381097561 16 12.633639017855876 341.4068231632736 -0.0031780267012446674
1164 852 202543.77896341495 13144095.221036585 35 12.033702728564002 450.0486406638897 -0.0024108505214002224
1064 1237 90192.42073170748 2719385.5792682925 16 12.912074891530338 300.32052998705814 -0.003612806623798768
2223 1632 59245.25 1045463.75 10 13.368366158926861 243.4034716268443 -0.00445761924736795
1144 1401 111694.61956521752 2085209.3804347825 14 12.679919366884562 334.20744989484825 -0.0032464865769490587
1402 249 74500.70833333326 1768737.2916666667 13 13.11959899518311 272.9481788423093 -0.003975113534744771
2710 187 63920.03260869556 2084798.9673913044 14 13.285907530348549 252.82411397787112 -0.004291521021981972
940 2052 66234.09999999998 1042117.9 10 13.247295901441237 257.35986478081617 -0.004215886579378079
3905 513 115012.27986348141 2393866.7201365186 15 12.648139468850058 339.134604343882 -0.003199319639171387
472 2467 399048.012987013 5142044.987012987 29 11.297437118421986 631.7024718861031 -0.0017175807413899542
319 1714 65976.21978021984 1036762.7802197802 10 13.251531429297954 256.85836521363257 -0.004224117828896058
574 1248 147156.04646017775 23721621.953539822 47 12.380554721434862 383.60923667213456 -0.0028283990485018853
2195 1424 35181.71428571432 1087537.2857142857 14 13.934207506661485 187.5678924702048 -0.005784572112587725
3061 2139 44340.34482758632 1278116.6551724137 11 13.683002334428679 210.57147201742765 -0.00515264479848534
294 627 101084.69186046487 3048758.308139535 17 12.788286521109134 317.93818874187616 -0.003412613012276033
3536 2200 149121.49652777798 8953856.503472222 29 12.366149366376545 386.1625260531866 -0.0028096978002742864
2882 869 371278.05882352963 10371715.94117647 31 11.375751788080741 609.3259052621427 -0.0017806562803746448
183 988 200893.9831460677 12051059.016853932 34 12.04258267586945 448.21198460780556 -0.0024207295593610617
1605 911 54549.30434782617 2083556.6956521738 14 13.458026958693994 233.5579250375079 -0.004645528512148564
3032 1856 44619.047619047575 2798552.9523809524 17 13.676199259615354 211.23221255066088 -0.005136527174991262
2161 1969 109858.03316326533 4257718.966836735 20 12.697920451525933 331.44838687684893 -0.0032735111798964235
558 2406 127658.25 1769467.75 13 12.534877783451744 357.2929470336631 -0.0030367238116731543
1728 1323 233594.4551886795 5179366.5448113205 22 11.87884367561934 483.31610276161865 -0.002244907615948282
2791 322 53205.708333333256 1768690.2916666667 13 13.485104426561533 230.66362594334907 -0.00470381923271455
2114 1012 44601.54999999993 1044957.4500000001 10 13.67662512089061 211.1907905189048 -0.0051375346308146705
4478 1413 90713.6287878789 3320813.371212121 19 12.90581864941919 301.1870329012836 -0.0036024127252371357
3953 546 133402.04166666698 3442540.958333333 18 12.48709380914871 365.24244231286565 -0.0029706295717697347
2010 1660 112018.625 1770848.375 13 12.676774406220899 334.6918358729415 -0.003241788068030129
1982 1976 53097.8203125 1494195.1796875 12 13.487308266302117 230.42964286849033 -0.004708595589063278
2420 969 41228.20258620684 1279513.7974137932 11 13.76201399648604 203.04729150177513 -0.005343582728807365
1956 1906 132232.84797297325 2389516.1520270268 15 12.496651620798673 363.6383477756069 -0.002983733719606297
